# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
   25119 2.399e-03 2.411e-03 2.404e-03 2.678e-06
   31623 3.101e-03 3.127e-03 3.108e-03 3.557e-06
   39811 4.001e-03 4.017e-03 4.008e-03 3.468e-06
   50119 5.168e-03 5.186e-03 5.176e-03 3.983e-06
   63096 6.680e-03 6.701e-03 6.689e-03 4.684e-06
   79433 8.628e-03 8.654e-03 8.639e-03 5.479e-06
  100000 1.118e-02 1.121e-02 1.119e-02 6.523e-06
  125893 1.450e-02 1.454e-02 1.452e-02 7.988e-06
  158489 1.879e-02 1.884e-02 1.881e-02 1.116e-05
  199526 2.436e-02 2.442e-02 2.438e-02 1.332e-05
  251189 3.157e-02 3.163e-02 3.159e-02 1.340e-05
  316228 4.083e-02 4.088e-02 4.085e-02 1.285e-05
  398107 5.281e-02 5.288e-02 5.284e-02 1.602e-05
  501187 6.826e-02 6.836e-02 6.830e-02 2.149e-05
#------- --------- --------- --------- ---------


# rank_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 5.990e-07 7.330e-07 6.053e-07 1.447e-08
      13 6.260e-07 6.420e-07 6.321e-07 3.570e-09
      16 6.610e-07 6.780e-07 6.684e-07 3.962e-09
      20 7.240e-07 7.500e-07 7.357e-07 5.938e-09
      25 8.270e-07 8.660e-07 8.450e-07 9.228e-09
      32 1.015e-06 1.072e-06 1.040e-06 1.348e-08
      40 1.298e-06 1.419e-06 1.342e-06 2.506e-08
      50 1.724e-06 1.849e-06 1.783e-06 2.979e-08
      63 2.415e-06 2.606e-06 2.510e-06 4.583e-08
      79 3.484e-06 3.799e-06 3.634e-06 7.290e-08
     100 5.267e-06 5.775e-06 5.495e-06 1.183e-07
     126 7.963e-06 8.686e-06 8.317e-06 1.677e-07
     158 1.219e-05 1.325e-05 1.269e-05 2.539e-07
     200 1.918e-05 2.075e-05 1.990e-05 3.639e-07
     251 2.984e-05 3.196e-05 3.085e-05 5.154e-07
     316 4.753e-05 5.074e-05 4.902e-05 7.641e-07
     398 7.502e-05 7.956e-05 7.717e-05 1.061e-06
     501 1.182e-04 1.248e-04 1.213e-04 1.572e-06
     631 1.870e-04 1.965e-04 1.916e-04 2.277e-06
     794 2.957e-04 3.090e-04 3.023e-04 3.131e-06
    1000 4.690e-04 4.885e-04 4.782e-04 4.498e-06
    1259 7.433e-04 7.701e-04 7.565e-04 6.477e-06
    1585 1.179e-03 1.216e-03 1.198e-03 8.965e-06
    1995 1.869e-03 1.929e-03 1.897e-03 1.436e-05
    2512 2.968e-03 3.048e-03 3.006e-03 1.928e-05
    3162 4.707e-03 4.819e-03 4.761e-03 2.694e-05
    3981 7.465e-03 7.637e-03 7.540e-03 3.815e-05
    5012 1.184e-02 1.207e-02 1.195e-02 5.485e-05
    6310 1.881e-02 1.911e-02 1.895e-02 7.380e-05
    7943 2.986e-02 3.030e-02 3.007e-02 1.054e-04
   10000 4.738e-02 4.800e-02 4.768e-02 1.464e-04
   12589 7.518e-02 7.605e-02 7.562e-02 2.050e-04
#------- --------- --------- --------- ---------


# selection_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
